species,species_latin,iucn_level
sp1,Dasyatis akajei,NT
sp2,Eudontomyzon morii,VU
sp3,Lethenteron camschaaticum,LC
sp4,Lethenteron reissneri,VU
sp5,Acipenser baerii,EN 
sp6,Acipenser dabryanus,CR 
sp7,Acipenser ruthenus,EN
sp8,Acipenser schrenckii,CR
sp9,Acipenser sinensis,CR 
sp10,Huso dauricus,CR
sp11,Psephurus gladius,CR
sp12,Anguilla japonica,EN
sp13,Anguilla marmorata,EN
sp14,Anguilla bicolor,NT
sp15,Anguilla nebulosa,NT
sp16,Tenualosa reevesi,CR
sp17,Coilia mystus,LC
sp18,Coilia grayii,LC
sp19,Coilia nasus,LC
sp20,Aphyocypris amnis,DD
sp21,Aphyocypris arcus,DD
sp22,Aphyocypris chinensis,NT
sp23,Aphyocypris kikuchii,VU
sp24,Aphyocypris lini,CR
sp25,Aphyocypris moltrechti,EN
sp26,Aphyocypris pulchrilineata,DD
sp27,Barilius barila,LC
sp28,Barilius koratensis,DD
sp29,Cabdio morar,NT
sp30,Candidia barbata,NT
sp31,Candidia pingtungensis,DD
sp32,Danio albolineatus,LC
sp33,Danio shanensis,LC
sp34,Devario apogon,NT
sp35,Devario apopyris,DD
sp36,Devario browni,NT
sp37,Devario chrysotaeniatus,NT
sp38,Devario interruptus,LC
sp39,Devario kakhienensis,LC
sp40,Gobiocypris rarus,EN
sp41,Gymnodanio strigatus,NT
sp42,Microrasbora microphthalma,DD
sp43,Nicholsicypris normalis,DD
sp44,Opsariichthys acutipinnis,LC
sp45,Opsariichthys bidens,LC
sp46,Opsariichthys duchuunguyeni?,LC
sp47,Opsariichthys evolans,LC
sp48,Opsariichthys hainanensis,LC
sp49,Opsariichthys kaopingensis,NT
sp50,Opsariichthys macrolepis,LC
sp51,Opsariichthys minutus,LC
sp52,Opsariichthys pachycephalus,DD
sp53,Opsariichthys uncirostris,LC
sp54,Opsarius caudiocellatus,LC
sp55,Opsarius pulchellus,LC
sp56,Tanichthys albonubes,CR
sp57,Rasbora atridorsalis,LC
sp58,Rasbora dusonensis,LC
sp59,Rasbora septentrionalis,DD
sp60,Rasbora steineri,LC
sp61,Parazacco fasciatus,DD
sp62,Parazacco spilurus,LC
sp63,Raiamas guttatus,LC
sp64,Zacco acanthogenys,LC
sp65,Zacco chengtui,EN
sp66,Zacco platypus,LC
sp67,Zacco sinensis,DD
sp68,Atrilinea macrolepis,CR
sp69,Atrilinea macrops,DD
sp70,Atrilinea roulei,VU
sp71,Ctenopharyngodon idella,LC
sp72,Elopichthys bambusa,NT
sp73,Leuciscus aspius,LC
sp74,Leuciscus baicalensis,LC
sp75,Leuciscus chuanchicus,CR
sp76,Leuciscus idus,LC
sp77,Leuciscus merzbacheri,VU
sp78,Leuciscus waleckii,LC
sp79,Luciobrama macrocephalus,CR
sp80,Mylopharyngodon piceus,LC
sp81,Ochetobius elongates,CR
sp82,Phoxinus brachyurus,DD
sp83,Phoxinus grumi,NT
sp84,Phoxinus keumkang,NT
sp85,Phoxinus phoxinus,LC
sp86,Phoxinus tchangi,LC
sp87,Phoxinus ujmonensis,DD
sp88,Pseudaspius leptocephalus,LC
sp89,Rhynchocypris czekanowskii,LC
sp90,Rhynchocypris lagowskii,LC
sp91,Rhynchocypris oxycephalus,LC
sp92,Rhynchocypris percnurus,LC
sp93,Rutilus rutilus,LC
sp94,Squaliobarbus curriculus,LC
sp95,Tinca tinca,LC
sp96,Tribolodon brandtii,VU
sp97,Tribolodon hakonensis,VU
sp98,Anabarilius alburnops,EN
sp99,Anabarilius andersoni,CR
sp100,Anabarilius brevianalis,VU
sp101,Anabarilius duoyiheensis,DD
sp102,Anabarilius goldenlineus,DD
sp103,Anabarilius grahami,VU
sp104,Anabarilius liui,EN
sp105,Anabarilius longicaudatus,EN
sp106,Anabarilius macrolepis,EX
sp107,Anabarilius maculatus,EN
sp108,Anabarilius paucirastellus,DD
sp109,Anabarilius polylepis,EN
sp110,Anabarilius qiluensis,CR
sp111,Anabarilius qionghaiensis,CR
sp112,Anabarilius songmingensis,NT
sp113,Anabarilius transmontana,EN
sp114,Anabarilius xundianensis,NT
sp115,Anabarilius yangzonensis,CR
sp116,Chanodichthys dabryi,LC
sp117,Chanodichthys erythropterus,LC
sp118,Chanodichthys kurematsui,LC
sp119,Chanodichthys lini,NT
sp120,Chanodichthys mongolicus,LC
sp121,Chanodichthys nigrocauda,LC
sp122,Chanodichthys oxycephaloides,LC
sp123,Chanodichthys oxycephalus,LC
sp124,Chanodichthys recurviceps,LC
sp125,Chanodichthys wangi,NT
sp126,Culter alburnus,LC
sp127,Culter compressocorpus,DD
sp128,Hainania serrata,EN
sp129,Hemiculterella macrolepis,VU
sp130,Hemiculterella sauvagei,LC
