region_ID,region_name,iucn
total1,China,total
total2,PearlRiv,total
total3,YangtzeRiv,total
total4,LancangRiv,total
total5,NortheastRiv,total
total6,EastRiv,total
total7,YellowRiv,total
total8,SouthRiv,total
total9,Honghe,total
total10,Hainan,total
total11,Huaihe,total
total12,Haihe,total
total13,Ayeyarwady,total
total14,Nujiang,total
total15,Taiwan,total
total16,Xinjiang,total
total17,YarlungZangbo,total
total18,Qinzhang,total
red1,China,red
red2,PearlRiv,red
red3,YangtzeRiv,red
red4,LancangRiv,red
red5,NortheastRiv,red
red6,EastRiv,red
red7,YellowRiv,red
red8,SouthRiv,red
red9,Honghe,red
red10,Hainan,red
red11,Huaihe,red
red12,Haihe,red
red13,Ayeyarwady,red
red14,Nujiang,red
red15,Taiwan,red
red16,Xinjiang,red
red17,YarlungZangbo,red
red18,Qinzhang,red
green1,China,green
green2,PearlRiv,green
green3,YangtzeRiv,green
green4,LancangRiv,green
green5,NortheastRiv,green
green6,EastRiv,green
green7,YellowRiv,green
green8,SouthRiv,green
green9,Honghe,green
green10,Hainan,green
green11,Huaihe,green
green12,Haihe,green
green13,Ayeyarwady,green
green14,Nujiang,green
green15,Taiwan,green
green16,Xinjiang,green
green17,YarlungZangbo,green
green18,Qinzhang,green
